City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,glenn heights,32.5488,-96.8567,32.59,67,0,4.12,US,1686501314
314,rio grande,-32.035,-52.0986,14.06,54,63,6.23,BR,1686501314
315,umluj,25.0213,37.2685,30.3,51,0,2.91,SA,1686501314
316,medina,24.4686,39.6142,38.24,12,0,6.69,SA,1686501153
317,hadibu,12.65,54.0333,28.74,77,91,7.26,YE,1686501314
318,illizi,26.4833,8.4667,43.89,5,0,8.3,DZ,1686501315
319,cockburn town,21.4612,-71.1419,28.06,84,9,7.56,TC,1686501159
320,coruripe,-10.1256,-36.1756,26.66,78,22,5.26,BR,1686501315
321,pudozh,61.8099,36.5345,13.84,53,38,2.52,RU,1686501315
322,portel,-1.9356,-50.8211,30.44,62,12,2.39,BR,1686501315
323,namtsy,62.7161,129.6658,17.09,96,100,1.68,RU,1686501315
324,darab,28.7519,54.5444,32.18,13,28,1.35,IR,1686501316
325,suva,-18.1416,178.4415,20.71,94,75,0.0,FJ,1686501316
326,nguigmi,14.2495,13.1092,29.93,58,79,5.07,NE,1686501316
327,mukalla,14.5425,49.1242,34.66,53,100,3.13,YE,1686501316
328,gonabad,34.3529,58.6837,32.04,18,0,0.0,IR,1686501317
329,bac lieu,9.285,105.7244,27.84,80,70,4.31,VN,1686501317
330,puerto aysen,-45.4,-72.7,5.52,99,100,1.99,CL,1686501317
331,auki,-8.7676,160.7034,25.23,87,14,1.51,SB,1686501317
332,chonchi,-42.6128,-73.8092,9.51,77,95,2.25,CL,1686501318
333,al kharj,24.155,47.3346,42.32,9,12,4.2,SA,1686501318
334,adam,22.3756,57.5233,33.26,35,38,6.69,OM,1686501100
335,uturoa,-16.7333,-151.4333,26.72,63,56,8.21,PF,1686501318
336,holualoa,19.6228,-155.9522,20.91,94,75,4.12,US,1686501318
337,bonanza,14.0289,-84.591,31.92,62,78,1.75,NI,1686501318
338,ponta delgada,37.7333,-25.6667,20.4,68,20,6.17,PT,1686501318
339,nagqu,31.5,92.0,5.89,62,92,4.31,CN,1686501319
340,pedernales,18.0384,-71.744,31.54,58,12,1.29,DO,1686501319
341,saint john,45.2727,-66.0677,20.57,52,40,4.63,CA,1686501319
342,havre,49.5833,0.3333,21.86,94,100,3.6,FR,1686501319
343,elmali,36.7358,29.9177,18.16,76,71,2.32,TR,1686501319
344,carnarvon,-24.8667,113.6333,17.83,65,0,9.32,AU,1686501319
345,sungai penuh,-2.0833,101.3833,18.13,98,25,1.06,ID,1686501320
346,bhadrakh,21.0528,86.52,33.74,53,83,3.15,IN,1686501320
347,alaior,39.9303,4.1404,24.86,69,20,3.6,ES,1686501320
348,miracema do tocantins,-9.5618,-48.3967,34.65,31,5,2.78,BR,1686501320
349,siwa oasis,29.2041,25.5195,33.88,22,53,5.68,EG,1686501320
350,touros,-5.1989,-35.4608,27.63,75,41,5.5,BR,1686501321
351,kannus,63.9,23.9,19.81,35,22,4.76,FI,1686501321
352,laojunmiao,39.8333,97.7333,19.69,25,26,1.89,CN,1686501321
353,selfoss,63.9331,-20.9971,14.47,67,70,7.14,IS,1686501321
354,robore,-18.3333,-59.75,20.07,95,44,3.61,BO,1686501321
355,belyy yar,53.6039,91.3903,13.94,77,0,2.0,RU,1686501322
356,uliastay,47.7417,96.8444,17.64,47,31,3.19,MN,1686501322
357,caraballeda,10.6112,-66.8522,32.98,64,55,6.17,VE,1686501322
358,olinda,-8.0089,-34.8553,23.85,94,100,1.03,BR,1686501175
359,abashiri,44.0213,144.2697,13.86,95,35,4.08,JP,1686501322
360,kalmunai,7.4167,81.8167,28.69,75,92,1.97,LK,1686501322
361,kasamwa,-2.85,32.4333,20.83,60,63,0.92,TZ,1686501322
362,vorkuta,67.5,64.0,2.7,75,100,9.85,RU,1686501323
363,taksimo,56.3444,114.8794,19.34,65,71,2.27,RU,1686501323
